Log_Variable,Lab_Variable,Well,Correlation
Log_SHR,Lab_XRF_Sr,HRDH_1119,0.5516965630366356
Log_SHR,Lab_XRF_Sr,HRDH_697,0.829647595382766
Log_PE,Lab_XRF_Sr,HRDH_1119,-0.5602074125554198
Log_PE,Lab_XRF_Sr,HRDH_697,-0.8180887219782134
Log_LSN,Lab_XRF_Cl,HRDH_1119,-0.5550950647577072
Log_LSN,Lab_XRF_Cl,HRDH_697,-0.7717210356242598
Log_PE,Lab_XRF_Fe,HRDH_1119,0.5072450071348475
Log_PE,Lab_XRF_Fe,HRDH_697,-0.7970616305834632
Log_LSN,Lab_XRD_Quartz,HRDH_1804,0.5134330752201117
Log_LSN,Lab_XRD_Quartz,HRDH_697,0.7573511224643611
Log_SFT2,Lab_XRF_Si,HRDH_1119,0.6340933512171651
Log_SFT2,Lab_XRF_Si,HRDH_697,-0.6134466788886029
Log_CN,Lab_XRD_Quartz,HRDH_1804,-0.5271219125020683
Log_CN,Lab_XRD_Quartz,HRDH_697,-0.706911148488129
Log_CNC,Lab_XRD_Quartz,HRDH_1804,-0.5127276920499557
Log_CNC,Lab_XRD_Quartz,HRDH_697,-0.7069086049213237
Log_KTH,Lab_XRF_Na,HRDH_1119,0.5513387811995442
Log_KTH,Lab_XRF_Na,HRDH_697,0.6646795904310444
Log_SFT2,Lab_XRF_K,HRDH_1119,0.5597419059862517
Log_SFT2,Lab_XRF_K,HRDH_697,0.6082450748148788
Log_SFT2,Lab_XRF_Al,HRDH_1119,0.6052142696398239
Log_SFT2,Lab_XRF_Al,HRDH_697,0.5593690653571418
Log_HRD1,Lab_XRF_Al,HRDH_1119,0.5143110625805154
Log_HRD1,Lab_XRF_Al,HRDH_697,0.6337528174475778
Log_SFT2,Lab_XRF_Fe,HRDH_1119,0.579502412996502
Log_SFT2,Lab_XRF_Fe,HRDH_697,0.5565113203878188
Log_HRD1,Lab_XRF_Si,HRDH_1119,0.526589600309644
Log_HRD1,Lab_XRF_Si,HRDH_697,-0.5752304459585016
Log_SFT2,Lab_XRF_Sr,HRDH_1119,-0.5423447406737449
Log_SFT2,Lab_XRF_Sr,HRDH_697,0.5429860701746091
